variable,research_3_1,research_3_2,univ_5_1,univ_5_2,govtfund_8_7,gotvfund_6_3,gotvfund_6_4,research_4_3,research_4_4,research_5.1_12,govfund_10r
research_3_1,1,0.653,0.492,0.431,0.367,0.273,0.247,0.38,0.392,0.207,0.221
research_3_2,0.653,1,0.472,0.459,0.382,0.31,0.304,0.359,0.428,0.248,0.287
univ_5_1,0.492,0.472,1,0.695,0.387,0.246,0.26,0.348,0.312,0.182,0.261
univ_5_2,0.431,0.459,0.695,1,0.377,0.285,0.293,0.298,0.312,0.266,0.261
govtfund_8_7,0.367,0.382,0.387,0.377,1,0.451,0.493,0.215,0.203,0.198,0.364
gotvfund_6_3,0.273,0.31,0.246,0.285,0.451,1,0.508,0.169,0.176,0.209,0.371
gotvfund_6_4,0.247,0.304,0.26,0.293,0.493,0.508,1,0.117,0.176,0.181,0.325
research_4_3,0.38,0.359,0.348,0.298,0.215,0.169,0.117,1,0.461,0.286,0.109
research_4_4,0.392,0.428,0.312,0.312,0.203,0.176,0.176,0.461,1,0.215,0.107
research_5.1_12,0.207,0.248,0.182,0.266,0.198,0.209,0.181,0.286,0.215,1,0.154
govfund_10r,0.221,0.287,0.261,0.261,0.364,0.371,0.325,0.109,0.107,0.154,1
