Measure,govtfund_1,p_govtfund_1,govtfund_2,p_govtfund_2,intent_composite,p_intent_composite,X1_intent,p_X1_intent,X2_intent,p_X2_intent,X3_intent,p_X3_intent,X4_intent,p_X4_intent
Research effect on you personally,0.32,1.778121376542267e-8,0.21,3.1236930650625544e-4,0.37,2.6173646179561543e-11,0.28,1.2918046959905945e-6,0.41,2.6025270045065275e-13,0.24,1.886723738956192e-5,0.4,1.1354773659966417e-12
Research effect on people you care about,0.33,9.24771855235504e-9,0.19,0.0014075977827918465,0.39,1.6070908182652718e-12,0.32,1.5278524014100046e-8,0.37,2.1355303739635022e-11,0.33,7.598536285800217e-9,0.38,8.905349663144162e-12
You personally benefit from universities,0.43,6.550940341739764e-15,0.23,1.128180612915033e-4,0.41,1.1073428492882067e-13,0.36,9.840170775845385e-11,0.39,2.279451851104905e-12,0.29,4.893332302850562e-7,0.41,2.0504977350946061e-13
People you care about benefit,0.42,1.0325953591207263e-13,0.2,8.874079957997535e-4,0.34,2.5603959444064317e-9,0.28,8.171071194645333e-7,0.31,7.172258246487388e-8,0.28,1.1691631566376262e-6,0.33,7.509115023121237e-9
Tax investment benefits people like you,0.45,2.260373553755151e-16,0.28,1.3356723860042233e-6,0.29,3.393650523254528e-7,0.24,2.5213595403857488e-5,0.29,2.0860118360308225e-7,0.23,7.723228879775619e-5,0.29,3.819873298895507e-7
Everyday tools result from academic research,0.34,2.6527936175595176e-9,0.19,0.0012957491050592323,0.2,4.160945209338826e-4,0.16,0.005846153705883568,0.26,3.956743497904846e-6,0.13,0.025319630922458064,0.2,4.314131051740073e-4
Research benefits everyone's day-to-day lives,0.39,2.9569315997527567e-12,0.23,6.730104894048319e-5,0.21,2.325440471867361e-4,0.17,0.0027421491764975173,0.22,1.2660487701501448e-4,0.17,0.0027307068419250313,0.19,0.0012665850880395947
Clear how to apply research in my own life,0.17,0.0034705445138589674,0.06,0.3268115923553593,0.3,1.0792612011509962e-7,0.24,3.5742013440941994e-5,0.24,1.860677581627859e-5,0.25,1.599140150556227e-5,0.35,4.020923042352213e-10
I often think about research's impact on my life,0.15,0.009573410040682986,0.05,0.42109970241087336,0.46,3.65299057382785e-17,0.39,1.4420510820819673e-12,0.36,1.0037079518172761e-10,0.37,2.3003077478387432e-11,0.5,3.360804063226076e-20
Importance: understanding to improve own life,0.09,0.13902247399715176,0.07,0.23311201696338027,0.2,6.884671133189778e-4,0.14,0.018275127389223923,0.13,0.02112160254901273,0.21,3.2757222267808706e-4,0.19,8.565624140993224e-4
Local area harmed by funding cuts (reverse-keyed),0.24,3.272497333077636e-5,0.33,2.0707842469209234e-8,0.22,8.797548925224642e-5,0.22,1.045835502538239e-4,0.22,1.464383287415146e-4,0.16,0.0051880805425853,0.21,3.419096067434163e-4
